person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
40,148446,MORTGAGE,0.6,DEBTCONSOLIDATION,B,22040,8.85,0,0.148,N,18.0
67,25795,RENT,2.2,PERSONAL,D,14407,18.04,1,0.559,Y,30.0
39,19627,RENT,2.7,VENTURE,B,34305,12.59,1,1.748,N,21.0
27,32365,MORTGAGE,5.6,VENTURE,A,15166,7.6,0,0.469,N,9.0
26,47698,MORTGAGE,5.4,EDUCATION,A,7572,5.38,0,0.159,Y,7.0
22,56726,RENT,0.4,EDUCATION,B,34002,9.2,0,0.599,N,3.0
36,42415,MORTGAGE,2.5,HOMEIMPROVEMENT,A,27972,5.55,0,0.659,N,17.0
52,60550,RENT,1.0,DEBTCONSOLIDATION,C,23923,11.51,0,0.395,Y,30.0
67,23134,MORTGAGE,0.9,HOMEIMPROVEMENT,C,2909,15.93,0,0.126,N,30.0
31,116571,RENT,8.8,EDUCATION,A,33848,9.97,0,0.29,N,13.0
41,46663,OWN,0.2,EDUCATION,D,3083,14.65,0,0.066,N,19.0
41,95834,RENT,2.7,VENTURE,B,18140,,0,0.189,N,19.0
65,60212,RENT,0.9,EDUCATION,A,3670,5.96,0,0.061,Y,30.0
49,64476,RENT,10.6,MEDICAL,C,15691,13.48,0,0.243,N,30.0
57,68999,RENT,4.1,PERSONAL,C,26595,,0,0.385,N,30.0
57,64127,MORTGAGE,,EDUCATION,C,34440,14.79,1,0.537,N,30.0
64,72087,RENT,3.5,HOMEIMPROVEMENT,D,9630,16.97,0,0.134,N,30.0
27,108824,MORTGAGE,,DEBTCONSOLIDATION,C,32250,13.27,0,0.296,N,9.0
46,55155,RENT,15.9,DEBTCONSOLIDATION,D,29798,17.51,1,0.54,N,24.0
46,75011,RENT,1.2,DEBTCONSOLIDATION,B,34212,11.28,0,0.456,Y,28.0
53,46451,RENT,10.9,MEDICAL,C,12982,13.98,0,0.279,N,30.0
40,116316,RENT,13.6,HOMEIMPROVEMENT,G,9655,23.36,1,0.083,N,21.0
49,32668,RENT,12.4,MEDICAL,C,19582,13.88,0,0.599,N,29.0
52,144432,RENT,5.0,EDUCATION,A,5008,7.85,0,0.035,N,30.0
47,47853,RENT,5.0,PERSONAL,B,1496,,0,0.031,N,27.0
66,20775,RENT,2.6,DEBTCONSOLIDATION,B,24212,9.57,1,1.165,N,30.0
52,52937,MORTGAGE,7.0,HOMEIMPROVEMENT,A,21637,6.3,0,0.409,N,30.0
24,32577,MORTGAGE,3.8,DEBTCONSOLIDATION,F,17877,19.88,1,0.549,N,5.0
67,81176,RENT,5.7,MEDICAL,A,18810,7.27,0,0.232,N,30.0
38,33137,RENT,2.8,VENTURE,A,10884,7.08,1,0.328,Y,19.0
23,37507,OWN,6.6,EDUCATION,E,3723,17.76,0,0.099,N,3.0
54,15776,MORTGAGE,,PERSONAL,B,5761,9.67,0,0.365,N,30.0
36,37369,MORTGAGE,0.8,EDUCATION,A,8630,7.85,0,0.231,N,14.0
63,15000,RENT,8.9,VENTURE,B,17375,12.15,1,1.158,N,30.0
47,18951,MORTGAGE,3.9,PERSONAL,C,26218,13.49,1,1.383,N,25.0
49,77361,MORTGAGE,9.3,VENTURE,A,31565,7.41,0,0.408,N,28.0
48,78549,MORTGAGE,2.8,EDUCATION,F,33975,19.88,0,0.433,N,26.0
65,63276,OWN,2.4,MEDICAL,B,28073,10.23,0,0.444,N,30.0
25,27441,RENT,,EDUCATION,B,5190,11.93,0,0.189,N,7.0
54,47637,RENT,1.4,EDUCATION,B,2883,11.74,0,0.061,N,30.0
60,48914,MORTGAGE,9.3,EDUCATION,C,3886,14.66,0,0.079,N,30.0
56,24464,MORTGAGE,3.3,HOMEIMPROVEMENT,A,9953,8.62,1,0.407,N,30.0
43,120817,RENT,3.6,VENTURE,A,9381,8.02,0,0.078,N,21.0
48,82985,RENT,1.8,VENTURE,B,24238,10.98,1,0.292,N,29.0
65,42934,RENT,4.3,DEBTCONSOLIDATION,D,14795,16.29,1,0.345,N,30.0
50,49817,RENT,2.0,VENTURE,A,31428,7.0,1,0.631,N,28.0
54,55549,MORTGAGE,0.2,DEBTCONSOLIDATION,C,10638,13.6,0,0.192,N,30.0
52,15000,MORTGAGE,1.6,HOMEIMPROVEMENT,D,5931,16.26,0,0.395,N,30.0
40,42264,RENT,0.0,MEDICAL,A,27411,8.26,1,0.649,N,19.0
51,32559,RENT,,DEBTCONSOLIDATION,A,21534,7.62,1,0.661,Y,30.0
42,26877,RENT,16.9,EDUCATION,B,30181,13.03,1,1.123,N,20.0
52,41412,RENT,2.5,MEDICAL,B,20996,9.05,0,0.507,N,30.0
22,144150,MORTGAGE,6.5,HOMEIMPROVEMENT,A,7553,8.41,0,0.052,Y,3.0
37,72006,OWN,2.1,VENTURE,B,19073,10.45,0,0.265,N,15.0
44,34797,MORTGAGE,5.6,DEBTCONSOLIDATION,B,8130,10.5,0,0.234,N,24.0
61,69116,RENT,8.2,EDUCATION,B,30405,9.52,0,0.44,N,30.0
50,113506,OWN,14.7,PERSONAL,A,6789,8.72,0,0.06,N,30.0
22,85372,MORTGAGE,2.6,PERSONAL,B,29930,11.28,0,0.351,N,1.0
59,50806,MORTGAGE,7.6,MEDICAL,C,18529,14.5,1,0.365,N,30.0
65,33250,RENT,1.5,VENTURE,E,8942,18.7,1,0.269,N,30.0
43,74528,RENT,23.2,PERSONAL,D,8548,15.61,0,0.115,N,22.0
51,62074,RENT,0.1,MEDICAL,B,19296,10.42,0,0.311,N,30.0
66,83877,RENT,4.6,HOMEIMPROVEMENT,B,33244,11.02,0,0.396,N,30.0
41,71761,RENT,5.4,MEDICAL,B,1296,8.09,0,0.018,N,20.0
42,92017,RENT,5.8,MEDICAL,A,3409,8.55,0,0.037,N,23.0
21,35555,RENT,0.6,MEDICAL,A,31846,10.41,1,0.896,N,1.0
46,108059,MORTGAGE,13.9,EDUCATION,C,28167,14.08,0,0.261,N,28.0
61,55191,RENT,1.0,MEDICAL,A,29991,7.16,0,0.543,N,30.0
21,170272,RENT,4.9,DEBTCONSOLIDATION,A,18801,7.31,0,0.11,N,2.0
45,32418,OWN,1.3,MEDICAL,G,8358,24.35,1,0.258,Y,24.0
36,138909,OWN,1.8,EDUCATION,A,23588,7.19,0,0.17,N,18.0
59,55201,MORTGAGE,4.0,EDUCATION,A,18671,8.54,1,0.338,N,30.0
52,33161,OTHER,2.7,HOMEIMPROVEMENT,A,18502,7.29,0,0.558,N,30.0
28,36668,MORTGAGE,0.9,VENTURE,B,26128,12.56,0,0.713,N,9.0
62,40448,OWN,0.9,PERSONAL,C,32645,15.52,1,0.807,N,30.0
67,63227,RENT,2.7,PERSONAL,B,8637,10.1,1,0.137,Y,30.0
58,67084,RENT,7.1,MEDICAL,B,1660,10.4,0,0.025,N,30.0
48,34744,RENT,11.4,HOMEIMPROVEMENT,C,7922,,0,0.228,Y,30.0
61,48309,RENT,0.4,MEDICAL,D,29161,15.99,1,0.604,N,30.0
45,177258,RENT,2.5,PERSONAL,F,4970,19.86,0,0.028,N,26.0
54,138209,MORTGAGE,0.5,EDUCATION,D,4407,14.7,0,0.032,N,30.0
44,63690,MORTGAGE,0.1,VENTURE,B,28843,12.0,1,0.453,N,25.0
43,50151,MORTGAGE,5.4,HOMEIMPROVEMENT,A,10046,8.81,0,0.2,N,24.0
32,52681,RENT,4.6,EDUCATION,A,24800,8.79,1,0.471,N,12.0
26,70835,MORTGAGE,0.9,VENTURE,A,15547,,0,0.219,N,6.0
55,26537,MORTGAGE,1.3,HOMEIMPROVEMENT,C,32389,15.77,1,1.221,N,30.0
64,42006,RENT,0.1,HOMEIMPROVEMENT,D,31346,15.97,1,0.746,N,30.0
39,18013,MORTGAGE,9.0,PERSONAL,B,23748,11.54,1,1.318,N,19.0
20,62288,RENT,18.4,EDUCATION,A,26848,5.83,1,0.431,Y,1.0
27,72281,RENT,,HOMEIMPROVEMENT,B,8607,10.22,0,0.119,N,6.0
65,36683,OWN,1.3,DEBTCONSOLIDATION,E,34583,18.31,1,0.943,N,30.0
35,126044,RENT,10.1,HOMEIMPROVEMENT,B,13563,10.42,0,0.108,Y,13.0
33,23494,RENT,13.0,VENTURE,D,34690,14.41,1,1.477,N,14.0
31,20360,OWN,2.7,PERSONAL,D,30176,16.84,1,1.482,N,13.0
42,56087,MORTGAGE,0.3,MEDICAL,E,15925,19.73,0,0.284,N,22.0
34,91881,RENT,0.2,PERSONAL,C,22251,12.61,0,0.242,N,14.0
47,134639,RENT,4.3,MEDICAL,C,18648,12.12,0,0.139,N,25.0
53,37222,RENT,2.5,EDUCATION,A,21108,6.58,0,0.567,N,30.0
21,93639,MORTGAGE,0.1,EDUCATION,A,11979,8.09,0,0.128,N,1.0
51,47901,RENT,4.4,HOMEIMPROVEMENT,B,3722,9.78,0,0.078,N,30.0
42,44197,RENT,0.1,DEBTCONSOLIDATION,A,6355,7.34,0,0.144,Y,21.0
41,83299,OWN,7.7,EDUCATION,F,29799,19.71,0,0.358,N,23.0
44,72503,MORTGAGE,1.8,HOMEIMPROVEMENT,A,33705,9.88,0,0.465,N,22.0
41,19037,RENT,0.2,PERSONAL,D,24070,16.09,1,1.264,N,23.0
41,118886,MORTGAGE,4.4,EDUCATION,B,12284,11.88,0,0.103,N,19.0
61,112201,MORTGAGE,2.5,PERSONAL,B,22737,11.09,0,0.203,Y,30.0
25,33680,RENT,18.2,PERSONAL,E,24241,18.45,1,0.72,N,4.0
34,62160,RENT,3.9,DEBTCONSOLIDATION,B,28414,10.39,1,0.457,Y,16.0
62,65934,MORTGAGE,1.6,EDUCATION,B,21895,9.63,0,0.332,N,30.0
56,57319,RENT,6.2,PERSONAL,A,27771,6.96,0,0.484,N,30.0
52,35235,MORTGAGE,1.6,DEBTCONSOLIDATION,C,2384,12.29,0,0.068,Y,30.0
27,32762,RENT,11.7,DEBTCONSOLIDATION,A,23689,6.16,1,0.723,Y,7.0
63,48274,RENT,2.3,EDUCATION,B,28475,13.0,1,0.59,Y,30.0
63,99075,RENT,4.0,DEBTCONSOLIDATION,B,9252,10.83,0,0.093,N,30.0
24,67925,RENT,0.3,EDUCATION,C,31844,15.26,1,0.469,N,6.0
58,39247,RENT,2.8,EDUCATION,C,31151,12.55,1,0.794,N,30.0
23,77887,RENT,8.9,MEDICAL,B,24365,9.0,0,0.313,Y,4.0
25,15000,MORTGAGE,8.2,PERSONAL,B,7026,9.33,1,0.468,N,6.0
64,97661,OTHER,1.3,VENTURE,D,33767,15.49,0,0.346,N,30.0
51,17260,MORTGAGE,1.3,EDUCATION,B,29523,10.54,1,1.71,N,30.0
49,39439,MORTGAGE,8.5,PERSONAL,B,11482,10.32,0,0.291,N,30.0
66,25039,RENT,13.3,DEBTCONSOLIDATION,B,26108,9.57,1,1.043,N,30.0
54,22543,OWN,0.5,HOMEIMPROVEMENT,D,1493,16.11,0,0.066,N,30.0
59,98370,RENT,3.0,EDUCATION,B,17465,10.71,0,0.178,N,30.0
35,37026,OWN,2.1,DEBTCONSOLIDATION,B,30550,11.34,0,0.825,N,14.0
32,60349,OTHER,10.2,DEBTCONSOLIDATION,C,14833,15.26,0,0.246,N,12.0
61,47659,MORTGAGE,0.4,DEBTCONSOLIDATION,C,3970,13.06,0,0.083,N,30.0
49,65265,OTHER,1.2,DEBTCONSOLIDATION,A,33779,8.96,0,0.518,N,27.0
38,51333,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30958,10.58,0,0.603,N,18.0
36,22701,RENT,0.3,EDUCATION,C,18145,11.67,1,0.799,N,14.0
38,89121,RENT,3.4,VENTURE,G,2806,25.0,0,0.031,N,18.0
47,36451,MORTGAGE,2.9,MEDICAL,C,6664,16.23,1,0.183,N,27.0
45,19265,RENT,2.0,DEBTCONSOLIDATION,B,29900,11.24,1,1.552,N,23.0
56,37916,MORTGAGE,2.5,DEBTCONSOLIDATION,A,15126,7.61,0,0.399,N,30.0
45,120626,OTHER,3.8,MEDICAL,D,6154,15.67,0,0.051,N,26.0
42,81644,RENT,0.9,EDUCATION,D,23208,15.44,1,0.284,N,24.0
28,39767,MORTGAGE,4.2,PERSONAL,A,14767,8.95,1,0.371,Y,10.0
31,39753,OWN,8.2,HOMEIMPROVEMENT,A,21043,7.48,0,0.529,N,12.0
20,40417,OWN,7.1,HOMEIMPROVEMENT,C,2525,15.51,0,0.062,N,1.0
20,170424,OWN,0.8,PERSONAL,B,34528,10.54,0,0.203,Y,2.0
66,61645,MORTGAGE,0.8,EDUCATION,B,17978,10.01,0,0.292,N,30.0
53,63451,OWN,1.6,HOMEIMPROVEMENT,A,2055,6.78,1,0.032,Y,30.0
51,90959,MORTGAGE,2.2,MEDICAL,A,11046,6.61,0,0.121,N,30.0
67,56572,RENT,2.6,PERSONAL,B,16678,11.12,1,0.295,Y,30.0
44,41964,RENT,5.7,VENTURE,C,27624,11.95,1,0.658,Y,22.0
59,43572,MORTGAGE,,EDUCATION,B,6255,9.52,0,0.144,N,30.0
64,46959,RENT,0.2,PERSONAL,B,10411,12.09,1,0.222,N,30.0
20,47938,MORTGAGE,2.5,HOMEIMPROVEMENT,A,34971,6.35,0,0.73,N,2.0
35,75854,MORTGAGE,6.0,EDUCATION,B,32235,11.54,0,0.425,N,13.0
58,50572,RENT,1.1,MEDICAL,A,20194,5.02,1,0.399,N,30.0
24,76083,MORTGAGE,5.1,EDUCATION,B,20476,12.24,0,0.269,N,5.0
41,46703,MORTGAGE,1.5,EDUCATION,C,4044,11.98,0,0.087,N,19.0
48,51389,RENT,10.9,MEDICAL,A,22057,6.45,0,0.429,N,29.0
22,15000,RENT,11.3,DEBTCONSOLIDATION,A,4514,8.32,1,0.301,Y,4.0
31,84948,RENT,1.8,MEDICAL,A,10990,7.82,0,0.129,N,9.0
45,60348,RENT,1.3,EDUCATION,B,8507,11.57,0,0.141,N,24.0
35,89215,OWN,,MEDICAL,D,5857,14.47,0,0.066,N,15.0
56,15000,RENT,1.4,DEBTCONSOLIDATION,A,13118,7.16,1,0.875,N,30.0
41,171617,MORTGAGE,5.6,PERSONAL,E,4146,17.76,1,0.024,N,19.0
48,45082,RENT,8.7,MEDICAL,A,27401,6.17,0,0.608,N,26.0
33,95311,RENT,5.6,MEDICAL,D,27177,16.72,1,0.285,N,11.0
47,26266,MORTGAGE,8.7,EDUCATION,B,5414,11.63,1,0.206,N,26.0
24,70803,MORTGAGE,2.5,PERSONAL,C,18494,13.1,0,0.261,Y,3.0
66,26054,RENT,0.8,VENTURE,B,21437,12.33,0,0.823,Y,30.0
49,33716,RENT,6.7,VENTURE,B,4937,9.56,0,0.146,N,28.0
65,154572,RENT,2.2,HOMEIMPROVEMENT,D,22326,17.8,0,0.144,N,30.0
24,43721,RENT,5.6,MEDICAL,C,9974,14.17,0,0.228,N,6.0
31,55851,MORTGAGE,1.6,MEDICAL,B,18500,9.03,0,0.331,N,13.0
35,82622,RENT,0.4,PERSONAL,A,2750,9.88,0,0.033,Y,16.0
45,65999,RENT,24.5,DEBTCONSOLIDATION,A,5027,6.97,0,0.076,N,25.0
45,53650,RENT,0.8,VENTURE,D,6745,17.45,1,0.126,N,27.0
67,61021,OWN,22.3,HOMEIMPROVEMENT,B,22448,10.67,0,0.368,Y,30.0
40,207326,OTHER,18.9,PERSONAL,B,29451,10.95,0,0.142,N,20.0
58,47355,RENT,7.9,MEDICAL,C,29207,14.58,1,0.617,Y,30.0
55,55307,MORTGAGE,5.4,VENTURE,D,6938,,0,0.125,N,30.0
52,92078,RENT,4.3,HOMEIMPROVEMENT,C,13150,13.09,1,0.143,N,30.0
49,95160,RENT,10.1,EDUCATION,C,14406,14.14,0,0.151,N,30.0
56,99929,MORTGAGE,1.7,VENTURE,C,20781,14.05,0,0.208,N,30.0
42,71914,OWN,3.2,HOMEIMPROVEMENT,B,19325,10.76,0,0.269,N,23.0
29,24691,OWN,4.8,PERSONAL,A,4148,7.26,0,0.168,N,7.0
24,130621,MORTGAGE,2.6,EDUCATION,D,29879,16.25,1,0.229,N,2.0
55,24641,RENT,2.8,HOMEIMPROVEMENT,B,8933,12.86,1,0.363,Y,30.0
53,58781,MORTGAGE,2.0,HOMEIMPROVEMENT,E,10436,18.15,0,0.178,N,30.0
50,31176,RENT,4.2,MEDICAL,A,18669,8.95,1,0.599,N,29.0
29,47170,MORTGAGE,9.5,DEBTCONSOLIDATION,A,7474,6.76,0,0.158,N,8.0
38,59710,RENT,1.1,VENTURE,E,12228,17.44,0,0.205,N,16.0
51,59445,MORTGAGE,13.6,MEDICAL,C,34538,,1,0.581,N,29.0
20,63142,RENT,5.8,EDUCATION,B,2843,11.15,0,0.045,N,2.0
24,129085,RENT,8.7,DEBTCONSOLIDATION,C,1073,14.18,0,0.008,N,6.0
64,64351,OWN,,HOMEIMPROVEMENT,C,17059,14.21,0,0.265,N,30.0
23,42340,RENT,7.6,MEDICAL,B,21733,12.19,1,0.513,N,3.0
35,87417,MORTGAGE,0.1,DEBTCONSOLIDATION,A,26395,7.99,0,0.302,N,15.0
43,100075,RENT,8.5,VENTURE,D,21202,16.98,1,0.212,N,24.0
35,23468,RENT,,EDUCATION,D,14273,14.73,1,0.608,Y,14.0
21,70153,RENT,11.0,PERSONAL,A,34099,,0,0.486,Y,2.0
47,74660,RENT,24.1,MEDICAL,D,8512,15.72,0,0.114,N,25.0
51,41005,MORTGAGE,1.7,EDUCATION,D,29231,16.81,1,0.713,N,30.0
46,111907,RENT,1.2,PERSONAL,B,24274,8.44,0,0.217,N,24.0
39,44800,OWN,7.2,MEDICAL,C,23409,14.26,0,0.523,N,17.0
43,52857,MORTGAGE,1.5,EDUCATION,B,6113,7.81,0,0.116,Y,25.0
31,44185,RENT,10.0,EDUCATION,A,3881,7.17,0,0.088,N,9.0
54,49481,MORTGAGE,0.5,DEBTCONSOLIDATION,C,20249,11.45,0,0.409,N,30.0
52,25393,MORTGAGE,0.7,MEDICAL,D,13714,16.76,1,0.54,Y,30.0
52,20660,MORTGAGE,19.4,EDUCATION,C,9656,13.58,0,0.467,N,30.0
62,127606,RENT,5.6,HOMEIMPROVEMENT,B,6741,9.58,0,0.053,N,30.0
56,29490,RENT,9.4,MEDICAL,A,17661,9.22,1,0.599,N,30.0
31,27042,OWN,2.0,EDUCATION,A,32555,6.42,1,1.204,N,10.0
22,15000,OWN,5.6,DEBTCONSOLIDATION,B,29690,6.86,1,1.979,N,2.0
20,33410,OWN,4.5,PERSONAL,A,33833,8.12,1,1.013,N,1.0
52,22162,RENT,4.6,PERSONAL,B,6704,8.38,0,0.302,N,30.0
59,131295,MORTGAGE,5.7,HOMEIMPROVEMENT,B,13175,9.46,0,0.1,N,30.0
29,89849,RENT,4.3,MEDICAL,C,13696,12.88,0,0.152,N,11.0
62,32438,RENT,2.8,DEBTCONSOLIDATION,B,29054,8.79,1,0.896,N,30.0
63,189370,RENT,1.6,EDUCATION,B,22076,9.91,0,0.117,N,30.0
48,88349,MORTGAGE,7.3,EDUCATION,B,15986,8.81,0,0.181,N,29.0
32,40340,RENT,1.3,PERSONAL,A,15440,7.69,0,0.383,N,12.0
31,15000,RENT,5.9,DEBTCONSOLIDATION,A,8960,6.03,0,0.597,N,9.0
50,193796,MORTGAGE,1.3,HOMEIMPROVEMENT,A,23462,7.54,0,0.121,N,30.0
65,21295,RENT,4.9,PERSONAL,D,18821,17.39,1,0.884,N,30.0
21,18265,RENT,6.9,PERSONAL,A,28258,8.44,1,1.547,N,1.0
54,90539,RENT,1.2,HOMEIMPROVEMENT,C,28353,13.4,0,0.313,N,30.0
42,211896,OWN,0.3,MEDICAL,F,24416,19.81,0,0.115,N,23.0
36,112483,MORTGAGE,0.7,EDUCATION,C,23115,13.69,0,0.205,N,15.0
45,68757,RENT,4.7,MEDICAL,A,25968,6.67,0,0.378,N,27.0
27,70042,MORTGAGE,9.5,DEBTCONSOLIDATION,E,23731,,0,0.339,N,5.0
48,81801,MORTGAGE,0.2,VENTURE,A,23785,5.44,0,0.291,Y,26.0
45,77292,RENT,6.6,VENTURE,B,14828,11.47,0,0.192,N,25.0
29,58029,MORTGAGE,2.1,VENTURE,D,5541,16.04,1,0.095,Y,8.0
45,52183,MORTGAGE,3.3,HOMEIMPROVEMENT,C,14311,16.15,0,0.274,N,23.0
53,47213,MORTGAGE,13.2,PERSONAL,B,31531,12.07,1,0.668,N,30.0
60,31182,RENT,2.0,MEDICAL,A,15588,8.18,1,0.5,N,30.0
26,41423,MORTGAGE,3.1,EDUCATION,B,13380,10.35,0,0.323,N,6.0
23,17751,MORTGAGE,0.1,VENTURE,B,18818,9.62,1,1.06,N,4.0
64,46212,RENT,0.4,MEDICAL,B,31857,11.63,0,0.689,N,30.0
30,27087,RENT,1.5,VENTURE,F,22711,20.72,1,0.838,Y,9.0
48,25281,RENT,0.1,VENTURE,E,6097,19.9,1,0.241,N,27.0
55,54608,RENT,5.0,EDUCATION,D,29393,16.48,0,0.538,N,30.0
44,113006,MORTGAGE,2.8,DEBTCONSOLIDATION,B,23076,10.99,1,0.204,Y,23.0
40,85049,RENT,4.0,DEBTCONSOLIDATION,C,19738,14.21,0,0.232,Y,21.0
55,19104,RENT,1.0,DEBTCONSOLIDATION,E,30317,17.4,1,1.587,Y,30.0
29,27071,MORTGAGE,,HOMEIMPROVEMENT,D,8044,14.77,0,0.297,N,8.0
56,86203,RENT,5.5,PERSONAL,B,6497,9.23,0,0.075,N,30.0
28,27187,OWN,16.8,HOMEIMPROVEMENT,A,14751,8.76,0,0.543,N,9.0
43,42839,RENT,0.3,MEDICAL,A,30882,6.37,0,0.721,N,22.0
54,68188,RENT,11.1,HOMEIMPROVEMENT,B,23449,9.51,1,0.344,Y,30.0
54,27419,RENT,4.3,MEDICAL,C,34402,,1,1.255,N,30.0
67,52220,RENT,4.1,MEDICAL,D,33543,15.7,1,0.642,N,30.0
55,22017,RENT,3.5,PERSONAL,A,30362,7.04,1,1.379,Y,30.0
37,34172,MORTGAGE,0.4,EDUCATION,A,28315,6.94,0,0.829,N,16.0
58,59389,OWN,0.5,PERSONAL,B,28746,7.71,1,0.484,Y,30.0
51,18848,RENT,4.6,DEBTCONSOLIDATION,B,11057,9.34,1,0.587,N,30.0
43,63849,MORTGAGE,2.1,DEBTCONSOLIDATION,A,22061,8.92,1,0.346,N,23.0
42,48446,MORTGAGE,12.5,HOMEIMPROVEMENT,C,12322,12.85,0,0.254,N,23.0
51,68288,MORTGAGE,2.6,MEDICAL,B,5276,8.22,0,0.077,N,30.0
56,56069,RENT,0.8,VENTURE,C,13306,12.29,0,0.237,N,30.0
31,111133,RENT,6.3,VENTURE,B,28742,10.93,1,0.259,Y,9.0
32,52845,RENT,1.7,MEDICAL,B,32600,10.91,1,0.617,Y,11.0
42,37886,MORTGAGE,3.7,PERSONAL,B,18629,10.15,1,0.492,N,23.0
44,52753,MORTGAGE,6.0,EDUCATION,D,9245,15.17,0,0.175,N,26.0
54,67912,RENT,11.5,PERSONAL,A,32414,5.82,0,0.477,Y,30.0
60,50479,RENT,7.9,MEDICAL,D,31098,16.44,1,0.616,N,30.0
49,50229,OWN,5.6,MEDICAL,B,11588,11.51,0,0.231,N,28.0
36,32170,MORTGAGE,5.7,EDUCATION,D,1442,17.55,1,0.045,N,16.0
39,32933,OTHER,14.6,HOMEIMPROVEMENT,D,12803,14.67,0,0.389,Y,21.0
67,21129,MORTGAGE,1.8,HOMEIMPROVEMENT,B,11599,12.14,0,0.549,N,30.0
44,140048,RENT,0.0,EDUCATION,C,8058,13.43,0,0.058,N,26.0
41,23241,MORTGAGE,1.6,HOMEIMPROVEMENT,A,18206,7.53,0,0.783,N,19.0
32,32346,MORTGAGE,1.2,VENTURE,D,12894,17.07,0,0.399,N,13.0
38,31855,RENT,5.4,HOMEIMPROVEMENT,B,3939,,1,0.124,Y,17.0
55,83864,MORTGAGE,5.0,HOMEIMPROVEMENT,B,23149,7.9,0,0.276,Y,30.0
31,41069,MORTGAGE,4.5,HOMEIMPROVEMENT,C,2031,14.35,0,0.049,N,11.0
60,103636,RENT,0.1,VENTURE,D,11208,16.42,1,0.108,N,30.0
38,32725,MORTGAGE,6.5,HOMEIMPROVEMENT,A,1562,7.07,1,0.048,Y,20.0
31,57953,MORTGAGE,2.0,DEBTCONSOLIDATION,C,21951,14.25,1,0.379,N,11.0
28,29696,OWN,5.5,VENTURE,B,29351,11.49,1,0.988,N,8.0
26,177564,RENT,4.1,EDUCATION,B,19680,8.69,0,0.111,Y,6.0
47,24039,RENT,2.1,PERSONAL,C,22586,13.53,1,0.94,N,27.0
33,59035,MORTGAGE,0.7,EDUCATION,B,10308,7.77,0,0.175,N,15.0
50,71701,RENT,0.5,PERSONAL,B,10609,10.35,0,0.148,N,30.0
38,62835,MORTGAGE,8.9,EDUCATION,D,30495,15.55,0,0.485,N,16.0
66,43863,MORTGAGE,12.5,DEBTCONSOLIDATION,A,18675,8.09,0,0.426,N,30.0
35,45347,RENT,5.2,PERSONAL,C,29064,12.21,0,0.641,N,13.0
24,50326,MORTGAGE,0.5,PERSONAL,A,9720,6.99,0,0.193,Y,5.0
54,44882,MORTGAGE,2.6,MEDICAL,A,15457,5.0,0,0.344,N,30.0
31,87406,RENT,6.5,PERSONAL,A,3939,8.17,0,0.045,N,11.0
44,184667,OWN,7.6,PERSONAL,C,24365,13.39,0,0.132,N,23.0
40,35084,MORTGAGE,0.6,MEDICAL,C,6392,13.6,1,0.182,N,18.0
55,21549,MORTGAGE,0.0,HOMEIMPROVEMENT,A,26905,5.71,1,1.249,N,30.0
42,46491,MORTGAGE,6.2,HOMEIMPROVEMENT,A,8972,7.98,0,0.193,N,22.0
35,230458,RENT,2.2,MEDICAL,E,31653,20.48,0,0.137,N,13.0
58,30266,OWN,1.5,VENTURE,A,27329,,1,0.903,N,30.0
64,131067,MORTGAGE,0.1,PERSONAL,D,20184,16.78,0,0.154,Y,30.0
61,134137,MORTGAGE,3.9,PERSONAL,A,15799,6.46,0,0.118,N,30.0
58,35166,MORTGAGE,9.5,MEDICAL,C,16052,13.41,1,0.456,N,30.0
33,68967,RENT,15.8,MEDICAL,B,7044,,0,0.102,N,15.0
50,130227,MORTGAGE,4.2,VENTURE,D,20871,16.95,0,0.16,N,30.0
24,39047,RENT,3.6,DEBTCONSOLIDATION,C,24767,13.69,0,0.634,N,6.0
54,43384,RENT,0.4,HOMEIMPROVEMENT,B,21234,9.04,0,0.489,N,30.0
42,34578,RENT,4.0,EDUCATION,A,22381,6.54,0,0.647,N,21.0
48,26666,OWN,2.4,DEBTCONSOLIDATION,C,18274,13.57,1,0.685,Y,27.0
62,33204,MORTGAGE,4.7,HOMEIMPROVEMENT,C,23304,14.61,1,0.702,N,30.0
30,23520,MORTGAGE,2.5,PERSONAL,A,18572,9.28,1,0.79,N,8.0
37,50033,MORTGAGE,1.4,DEBTCONSOLIDATION,A,26965,7.34,0,0.539,N,19.0
66,30884,MORTGAGE,0.5,MEDICAL,D,19384,14.36,0,0.628,N,30.0
31,56402,OWN,1.9,VENTURE,A,18855,7.79,0,0.334,Y,10.0
28,19273,RENT,0.5,HOMEIMPROVEMENT,C,18920,15.64,1,0.982,N,10.0
29,59786,RENT,1.0,VENTURE,B,17702,8.55,0,0.296,N,10.0
63,80831,RENT,21.8,HOMEIMPROVEMENT,D,2894,14.85,0,0.036,N,30.0
36,15000,MORTGAGE,2.9,DEBTCONSOLIDATION,E,31985,19.23,1,2.132,N,15.0
57,61355,MORTGAGE,3.8,PERSONAL,G,29287,23.68,1,0.477,N,30.0
26,102395,RENT,10.3,EDUCATION,A,8991,6.85,1,0.088,Y,8.0
65,23723,RENT,27.1,VENTURE,D,16439,16.26,0,0.693,N,30.0
